gender,age,class,embarked,country,fare,sibsp,parch,pred_age8,pred_fare72,pred_class1,pred_fareclass
female,3,3rd,Cherbourg,Lebanon,19.0502,2,1,0.87,0.67,0.934,0.904
female,0.75,3rd,Cherbourg,Lebanon,19.0502,2,1,0.87,0.662,0.928,0.894
female,5,3rd,Cherbourg,Lebanon,19.0502,2,1,0.87,0.688,0.946,0.93
female,23,3rd,Cherbourg,Lebanon,19.0502,0,3,0.86,0.63,0.954,0.982
female,18,3rd,Southampton,England,8.01,0,0,0.632,0.418,0.89,0.968
male,40,3rd,Cherbourg,Lebanon,7.0406,0,0,0.366,0.328,0.276,0.156
male,18,2nd,Southampton,England,11.1,0,0,0.524,0.016,0.25,0.118
male,22,2nd,Southampton,Channel Islands,10.1,0,0,0.518,0.02,0.26,0.11
male,26,3rd,Southampton,Bosnia,7.1711,0,0,0.556,0.376,0.25,0.174
female,36,2nd,Southampton,England,13,0,0,0.91,0.89,0.9,0.956
male,28,2nd,Southampton,England,10.1,0,0,0.518,0.07,0.252,0.154
female,31,3rd,Southampton,Hungary,8.1308,0,0,0.56,0.472,0.874,0.976
female,18,3rd,Cherbourg,Lebanon,14.0901,0,1,0.636,0.588,0.78,0.992
female,45,3rd,Cherbourg,Lebanon,14.0901,0,1,0.636,0.47,0.756,0.99
female,27,1st,Southampton,X,78.17,0,0,0.924,0.976,0.986,0.976
male,47,1st,Southampton,England,30,0,0,0.572,0.08,0.492,0.08
female,33,3rd,Queenstown,Ireland,7.1707,0,0,0.73,0.544,0.844,0.956
male,22,3rd,Southampton,England,8.01,0,0,0.578,0.258,0.246,0.11
female,32,1st,Cherbourg,Italy,76.051,0,0,0.952,0.986,0.99,0.986
male,52,2nd,Southampton,England,12.1006,0,0,0.526,0.16,0.264,0.21
male,23,3rd,Southampton,Bulgaria,7.1711,0,0,0.556,0.276,0.236,0.122
male,60,1st,Cherbourg,United States,25.1806,0,0,0.58,0.12,0.056,0.12
male,24,1st,Cherbourg,Canada,247.1005,0,1,0.702,0.488,0.282,0.488
female,50,1st,Cherbourg,Canada,247.1005,0,1,0.95,0.984,0.994,0.984
male,32,2nd,Southampton,England,26,1,0,0.472,0.144,0.338,0.264
female,22,2nd,Southampton,England,26,1,0,0.936,0.882,0.95,0.986
male,36,1st,Southampton,Canada,75.041,0,0,0.422,0.068,0.068,0.068
male,44,2nd,Southampton,England,26,0,0,0.472,0.11,0.264,0.032
male,20,3rd,Southampton,England,8.01,0,0,0.578,0.258,0.242,0.112
male,1,2nd,Southampton,India,39,2,1,0.736,0.722,0.714,0.666
female,4,2nd,Southampton,India,39,2,1,0.968,0.89,0.866,0.822
female,12,2nd,Southampton,India,39,2,1,0.968,0.92,0.934,0.944
female,35,2nd,Southampton,United States,39,0,3,0.964,0.93,0.948,0.958
male,37,1st,Southampton,United States,52.1101,1,1,0.72,0.332,0.538,0.332
female,46,1st,Southampton,United States,52.1101,1,1,0.904,0.984,0.996,0.984
male,34,2nd,Southampton,England,13,0,0,0.508,0.142,0.274,0.132
male,26,1st,Cherbourg,United States,30,0,0,0.638,0.446,0.6,0.446
male,26,3rd,Southampton,Sweden,7.1506,0,0,0.54,0.376,0.24,0.174
female,19,2nd,Southampton,United States,13,0,0,0.91,0.886,0.888,0.974
male,22,3rd,Southampton,Finland,9.07,0,0,0.578,0.258,0.246,0.11
male,23,2nd,Southampton,England,13,0,0,0.508,0.028,0.266,0.122
female,39,1st,Cherbourg,United States,63.0702,0,0,0.948,0.984,0.986,0.984
female,46,1st,Cherbourg,X,247.1006,0,0,0.942,0.976,0.978,0.976
male,32,3rd,Southampton,X,56.0911,0,0,0.51,0.566,0.29,0.152
female,31,1st,Southampton,England,221.1507,0,0,0.876,0.976,0.954,0.976
male,21,3rd,Southampton,Norway,7.1506,0,0,0.54,0.26,0.236,0.11
male,24,1st,Cherbourg,X,26,0,0,0.542,0.322,0.33,0.322
male,25,1st,Cherbourg,United States,91.0107,1,0,0.52,0.374,0.442,0.374
female,19,1st,Cherbourg,United States,91.0107,1,0,0.958,0.988,0.994,0.988
male,18,3rd,Southampton,Sweden,7.15,0,0,0.536,0.256,0.208,0.118
male,28,1st,Southampton,Sweden,26.11,0,0,0.574,0.154,0.466,0.154
male,45,1st,Southampton,United States,35.1,0,0,0.532,0.04,0.23,0.04
male,39,1st,Cherbourg,United States,31,0,0,0.606,0.16,0.28,0.16
female,30,1st,Southampton,United States,164.1704,0,0,0.908,0.976,0.992,0.976
female,61,1st,Southampton,England,26.11,0,0,0.926,0.94,0.884,0.94
male,41,1st,Southampton,England,26.11,0,0,0.574,0.028,0.284,0.028
male,26,3rd,Southampton,X,7.1711,0,0,0.556,0.376,0.25,0.174
male,25,2nd,Southampton,United States,13,0,0,0.508,0.064,0.284,0.174
female,40,3rd,Queenstown,Ireland,7.15,0,2,0.586,0.274,0.738,0.936
male,42,3rd,Queenstown,Ireland,15.1,1,1,0.434,0.13,0.284,0.228
female,32,3rd,Queenstown,Ireland,15.1,1,1,0.542,0.404,0.76,0.946
female,45,1st,Cherbourg,United States,262.0706,0,0,0.944,0.98,0.978,0.98
male,26,3rd,Southampton,Wales,16.02,0,0,0.504,0.376,0.286,0.174
male,42,2nd,Southampton,X,13,0,0,0.508,0.11,0.226,0.032
female,22,1st,Southampton,England,55,0,1,0.94,0.982,0.994,0.982
male,30,2nd,Southampton,United States,13,0,0,0.508,0.078,0.222,0.106
female,22,3rd,Queenstown,Ireland,7.1406,0,0,0.79,0.56,0.88,0.96
male,41,1st,Southampton,United States,30.1,0,0,0.582,0.028,0.276,0.028
female,20,3rd,Southampton,Sweden,7.1701,0,0,0.574,0.384,0.85,0.974
male,24,2nd,Southampton,England,22,0,0,0.486,0.056,0.252,0.172
male,48,1st,Cherbourg,United States,50.0911,0,0,0.524,0.178,0.132,0.178
male,29,3rd,Southampton,England,7,1,0,0.436,0.286,0.268,0.204
male,23,3rd,Southampton,England,7.05,1,0,0.442,0.222,0.292,0.286
male,37,1st,Southampton,United States,26.11,0,0,0.574,0.044,0.364,0.044
male,46,1st,Cherbourg,United States,39.12,0,0,0.598,0.116,0.178,0.116
male,20,2nd,Southampton,France,22,0,0,0.486,0.018,0.25,0.112
male,32,2nd,Southampton,X,13,0,0,0.508,0.142,0.256,0.152
male,22,3rd,Southampton,Sweden,7.1511,0,0,0.586,0.258,0.254,0.11
male,40,3rd,Southampton,England,8.01,0,0,0.578,0.452,0.212,0.036
female,18,2nd,Southampton,England,13,0,0,0.91,0.882,0.89,0.968
female,15,2nd,Southampton,South Africa,39,0,2,0.978,0.926,0.958,0.96
female,59,1st,Southampton,United States,51.0907,2,0,0.912,0.942,0.96,0.942
female,40,2nd,Southampton,South Africa,39,1,1,0.976,0.94,0.964,0.982
female,44,1st,Cherbourg,United States,27.1405,0,0,0.93,0.982,0.932,0.982
male,60,2nd,Southampton,South Africa,39,1,1,0.78,0.08,0.194,0.14
female,20,2nd,Southampton,Sweden,26,1,0,0.936,0.9,0.946,0.98
male,25,2nd,Southampton,Sweden,26,1,0,0.472,0.086,0.332,0.352
female,22,3rd,Queenstown,Ireland,7.0508,0,0,0.658,0.56,0.834,0.96
male,21,3rd,Queenstown,Ireland,7.1517,0,0,0.462,0.222,0.308,0.122
female,58,1st,Cherbourg,India,76.051,0,0,0.952,0.968,0.972,0.968
male,7,3rd,Cherbourg,Lebanon,15.0411,1,1,0.764,0.578,0.728,0.71
female,10,3rd,Cherbourg,Lebanon,15.0411,1,1,0.706,0.574,0.794,0.952
female,40,3rd,Cherbourg,Lebanon,15.0411,0,2,0.812,0.446,0.816,0.98
male,19,3rd,Queenstown,Ireland,6.15,0,0,0.358,0.208,0.214,0.126
female,41,1st,Cherbourg,X,134.1,0,0,0.948,0.986,0.99,0.986
female,17,3rd,Queenstown,Ireland,7.1707,0,0,0.73,0.536,0.87,0.95
female,36,2nd,Southampton,England,13,0,0,0.91,0.89,0.9,0.956
male,26,2nd,Southampton,England,13,0,0,0.508,0.076,0.282,0.174
male,21,3rd,Cherbourg,Lebanon,7.0407,0,0,0.382,0.29,0.46,0.354
male,46,1st,Southampton,United States,26.11,0,0,0.574,0.03,0.358,0.03
male,42,2nd,Southampton,England,13,0,0,0.508,0.11,0.226,0.032
female,40,2nd,Southampton,United States,13,0,0,0.91,0.892,0.91,0.966
female,21,3rd,Southampton,Croatia (Modern),8.1303,0,0,0.554,0.382,0.836,0.974
female,30,3rd,Southampton,Croatia (Modern),8.1303,0,0,0.554,0.424,0.856,0.976
male,18,3rd,Southampton,Croatia (Modern),8.1303,0,0,0.574,0.256,0.23,0.118
male,38,3rd,Southampton,Croatia (Modern),8.1303,0,0,0.574,0.52,0.204,0.066
male,28,1st,Southampton,Scotland,31,0,0,0.518,0.154,0.314,0.154
male,42,1st,Southampton,United States,26.0509,0,0,0.618,0.032,0.464,0.032
male,0.8333333333,2nd,Southampton,Siam,29,0,2,0.808,0.762,0.752,0.75
male,26,2nd,Southampton,Siam,29,1,1,0.8,0.248,0.486,0.382
female,28,2nd,Southampton,United States,29,1,1,0.982,0.94,0.934,0.97
male,17,3rd,Southampton,Croatia (Modern),8.1303,0,0,0.574,0.256,0.228,0.148
male,17,3rd,Southampton,Croatia (Modern),8.1303,0,0,0.574,0.256,0.228,0.148
female,35,2nd,Southampton,England,21,0,0,0.816,0.896,0.912,0.972
male,21,2nd,Belfast,Northern Ireland,22,0,0,0.434,0.02,0.276,0.116
female,22,3rd,Queenstown,Ireland,7.15,0,0,0.776,0.56,0.864,0.96
male,21,3rd,Queenstown,Ireland,7.15,0,0,0.386,0.222,0.26,0.122
female,52,1st,Cherbourg,United States,27.0811,0,0,0.93,0.968,0.928,0.968
male,29,3rd,Southampton,England,8.01,0,0,0.578,0.4,0.212,0.114
male,28,3rd,Cherbourg,Canada,14.0902,1,0,0.432,0.25,0.454,0.274
female,18,3rd,Cherbourg,Lebanon,14.0902,1,0,0.558,0.534,0.726,0.988
male,19,2nd,Southampton,England,13,0,0,0.508,0.016,0.258,0.118
female,58,1st,Cherbourg,United States,512.0607,0,1,0.952,0.98,0.99,0.98
male,36,1st,Cherbourg,United States,512.0607,0,1,0.794,0.39,0.578,0.39
male,28,3rd,Southampton,Sweden,7.1511,0,0,0.586,0.366,0.254,0.154
male,24,3rd,Southampton,Sweden,7.1701,0,0,0.556,0.368,0.242,0.172
male,33,1st,Southampton,United States,5,0,0,0.474,0.13,0.218,0.13
male,17,1st,Southampton,Uruguay,47.02,0,0,0.376,0.148,0.092,0.148
male,27,1st,Southampton,Uruguay,47.02,0,0,0.376,0.176,0.124,0.176
female,45,3rd,Queenstown,Ireland,7.15,0,0,0.776,0.452,0.83,0.946
male,54,2nd,Southampton,England,26,1,0,0.472,0.122,0.276,0.238
male,11,1st,Southampton,United States,120,1,2,0.826,0.712,0.812,0.712
female,13,1st,Southampton,United States,120,1,2,0.83,0.902,0.91,0.902
female,45,2nd,Southampton,England,26,1,0,0.936,0.836,0.852,0.97
female,36,1st,Southampton,United States,120,1,2,0.83,0.928,0.936,0.928
male,36,1st,Southampton,United States,120,1,2,0.826,0.436,0.594,0.436
male,28,3rd,Southampton,England,7.05,0,0,0.516,0.366,0.222,0.154
male,49,1st,Southampton,United States,26,0,0,0.486,0.214,0.186,0.214
female,36,1st,Cherbourg,United States,27.1405,0,0,0.93,0.956,0.892,0.956
female,25,1st,Southampton,United States,78.17,1,0,0.91,0.978,0.99,0.978
male,36,1st,Southampton,England,78.17,1,0,0.514,0.168,0.186,0.168
male,24,3rd,Southampton,X,8.01,0,0,0.578,0.368,0.24,0.172
male,46,1st,Southampton,United States,61.0306,1,0,0.504,0.108,0.138,0.108
female,47,1st,Southampton,United States,61.0306,1,0,0.906,0.976,0.988,0.976
male,27,1st,Southampton,United States,53.02,1,0,0.518,0.316,0.488,0.316
female,32,1st,Southampton,United States,53.02,1,0,0.906,0.978,0.99,0.978
male,52,2nd,Southampton,United States,13.1,0,0,0.496,0.16,0.248,0.21
male,37,2nd,Southampton,England,26,1,0,0.472,0.1,0.302,0.142
female,29,2nd,Southampton,England,26,1,0,0.936,0.872,0.886,0.97
male,20,3rd,Queenstown,Ireland,7.1408,0,0,0.384,0.21,0.244,0.122
female,36,1st,Cherbourg,X,262.0706,0,0,0.944,0.956,0.974,0.956
female,30,1st,Southampton,England,86.1,0,0,0.926,0.976,0.988,0.976
male,45,1st,Cherbourg,Belgium,29.14,0,0,0.634,0.144,0.374,0.144
female,48,1st,Southampton,England,55,0,1,0.94,0.97,0.98,0.97
male,32,3rd,Southampton,X,56.0911,0,0,0.51,0.566,0.29,0.152
male,43,1st,Belfast,Scotland,89,0,0,0.362,0.062,0.042,0.062
male,29,3rd,Southampton,England,8.01,0,0,0.578,0.4,0.212,0.114
female,25,2nd,Southampton,England,30,1,1,0.982,0.932,0.92,0.952
female,52,2nd,Southampton,England,30,0,2,0.982,0.928,0.938,0.958
male,26,3rd,Cherbourg,X,14.0901,1,0,0.438,0.29,0.474,0.376
male,21,3rd,Cherbourg,X,14.0901,1,0,0.438,0.22,0.476,0.278
male,29,2nd,Southampton,England,26,1,0,0.472,0.072,0.294,0.204
male,28,2nd,Southampton,England,22,0,0,0.486,0.07,0.258,0.154
female,28,2nd,Southampton,England,27,1,0,0.952,0.892,0.954,0.974
female,26,1st,Cherbourg,United States,136.1507,1,0,0.952,0.99,0.986,0.99
male,27,1st,Cherbourg,United States,136.1507,1,0,0.45,0.314,0.202,0.314
female,22,1st,Southampton,England,151.16,0,0,0.9,0.974,0.966,0.974
male,40,1st,Southampton,United States,52,0,0,0.392,0.036,0.022,0.036
male,20,3rd,Southampton,X,7.01,0,0,0.506,0.258,0.222,0.112
male,18,3rd,Southampton,England,8.01,0,0,0.578,0.256,0.242,0.118
male,24,3rd,Queenstown,Ireland,7.05,0,0,0.37,0.334,0.264,0.168
male,24,3rd,Southampton,Bulgaria,7.1711,0,0,0.556,0.368,0.24,0.172
male,29,2nd,Southampton,England,10.1,0,0,0.518,0.076,0.24,0.114
male,27,2nd,Southampton,Finland,13,0,0,0.508,0.07,0.276,0.176
male,25,2nd,Southampton,England,10.1,0,0,0.518,0.064,0.274,0.174
male,37,1st,Southampton,Ireland,25.1109,0,0,0.506,0.044,0.21,0.044
female,8,2nd,Southampton,England,26.05,0,2,0.988,0.918,0.922,0.9
male,31,2nd,Southampton,England,26.05,1,1,0.754,0.156,0.342,0.326
female,30,2nd,Southampton,England,26.05,1,1,0.974,0.934,0.938,0.97
male,36,3rd,Southampton,Bulgaria,7.1711,0,0,0.556,0.506,0.232,0.068
female,39,1st,Cherbourg,United States,83.0302,1,1,0.952,0.99,0.992,0.99
male,37,1st,Cherbourg,United States,83.0302,1,1,0.706,0.314,0.27,0.314
female,64,1st,Cherbourg,United States,83.0302,0,2,0.966,0.924,0.946,0.924
male,31,3rd,Queenstown,United States,7.1408,0,0,0.384,0.356,0.198,0.128
male,40,3rd,Queenstown,Ireland,7.15,0,0,0.386,0.322,0.198,0.044
female,23,3rd,Queenstown,Ireland,7.15,0,0,0.776,0.572,0.886,0.964
female,41,3rd,Queenstown,Ireland,7.1207,0,0,0.678,0.456,0.808,0.948
male,66,3rd,Queenstown,Ireland,7.15,0,0,0.386,0.258,0.08,0.062
male,43,3rd,Southampton,X,8.01,0,0,0.578,0.418,0.24,0.03
female,22,2nd,Southampton,England,10.1,0,0,0.932,0.854,0.87,0.974
female,30,2nd,Southampton,United States,13,0,0,0.91,0.878,0.888,0.976
female,32,2nd,Southampton,X,21,0,0,0.816,0.876,0.856,0.972
male,35,3rd,Southampton,Croatia (Modern),7.1711,0,0,0.556,0.508,0.25,0.136
male,27,3rd,Southampton,Hungary,7.1711,0,0,0.556,0.358,0.244,0.176
male,19,3rd,Southampton,Hungary,7.1711,0,0,0.556,0.256,0.232,0.118
male,30,3rd,Southampton,Poland,8.01,0,0,0.578,0.404,0.194,0.106
female,55,1st,Southampton,United States,25.141,2,0,0.89,0.958,0.934,0.958
female,16,3rd,Queenstown,Ireland,7.15,0,0,0.776,0.544,0.894,0.95
male,21,2nd,Southampton,England,11.1,0,0,0.524,0.018,0.27,0.11
male,3,3rd,Southampton,England,15.18,1,1,0.594,0.468,0.812,0.682
male,9,3rd,Southampton,England,15.18,1,1,0.594,0.352,0.71,0.642
female,36,3rd,Southampton,England,15.18,0,2,0.688,0.322,0.94,0.966
male,58,3rd,Southampton,England,7.05,0,0,0.516,0.366,0.074,0.086
male,59,1st,Southampton,United States,26.11,0,0,0.574,0.082,0.054,0.082
male,20,3rd,Southampton,United States,8.0302,0,0,0.576,0.258,0.242,0.112
female,16,3rd,Southampton,United States,16.02,0,1,0.742,0.418,0.964,0.976
male,43,3rd,Southampton,Australia,16.02,0,1,0.678,0.262,0.214,0.108
male,70,1st,Southampton,United States,71,1,1,0.666,0.078,0.08,0.078
female,39,1st,Southampton,United States,26.11,0,2,0.922,0.972,0.97,0.972
female,64,1st,Southampton,United States,71,1,1,0.9,0.834,0.836,0.834
male,17,3rd,Southampton,Croatia (Modern),8.1303,0,0,0.574,0.256,0.228,0.148
male,39,1st,Cherbourg,United States,71.0508,1,0,0.474,0.152,0.152,0.152
female,35,1st,Cherbourg,Peru,71.0508,1,0,0.954,0.99,0.992,0.99
male,22,2nd,Belfast,Northern Ireland,22,0,0,0.434,0.018,0.274,0.106
male,28,3rd,Cherbourg,X,7.0407,0,0,0.382,0.37,0.436,0.41
female,22,3rd,Southampton,Sweden,10.1004,0,0,0.584,0.396,0.864,0.974
male,45,3rd,Southampton,X,8.01,0,0,0.578,0.418,0.244,0.04
male,19,3rd,Southampton,X,10.0305,0,0,0.568,0.256,0.248,0.118
female,33,3rd,Queenstown,Ireland,6.19,0,0,0.676,0.544,0.874,0.956
male,29,3rd,Queenstown,Ireland,7.15,0,0,0.386,0.302,0.224,0.12
male,51,1st,Southampton,England,26.11,0,0,0.574,0.208,0.482,0.208
male,0.3333333333,3rd,Southampton,Sweden,14.08,0,2,0.446,0.436,0.532,0.71
male,34,3rd,Southampton,Sweden,14.08,1,1,0.336,0.226,0.318,0.358
female,28,3rd,Southampton,Sweden,14.08,1,1,0.368,0.36,0.69,0.97
male,27,1st,Southampton,United States,30.1,0,0,0.582,0.176,0.476,0.176
female,36,1st,Southampton,England,151.16,0,0,0.9,0.956,0.982,0.956
male,27,3rd,Southampton,X,7.1711,0,0,0.556,0.358,0.244,0.176
female,27,1st,Cherbourg,Canada,52,1,2,0.942,0.974,0.984,0.974
male,31,1st,Cherbourg,Canada,52,1,0,0.52,0.268,0.348,0.268
male,8,2nd,Southampton,England,36.15,1,1,0.792,0.668,0.688,0.662
male,24,3rd,Southampton,England,24.03,2,0,0.278,0.208,0.33,0.302
male,19,2nd,Southampton,England,73.1,0,0,0.386,0.016,0.118,0.118
male,22,3rd,Southampton,Wales,8.01,0,0,0.578,0.258,0.246,0.11
male,22,3rd,Southampton,England,24.03,2,0,0.278,0.156,0.324,0.266
male,17,3rd,Southampton,England,8.01,2,0,0.442,0.15,0.29,0.264
female,48,2nd,Southampton,England,36.15,0,2,0.982,0.934,0.96,0.964
female,28,2nd,Southampton,England,13,0,0,0.91,0.882,0.904,0.972
female,34,3rd,Southampton,England,16.02,1,0,0.462,0.49,0.884,0.978
male,32,3rd,Southampton,England,16.02,1,0,0.45,0.408,0.326,0.264
male,18,2nd,Southampton,England,73.1,0,0,0.386,0.016,0.118,0.118
male,1,3rd,Southampton,England,20.1106,1,2,0.434,0.432,0.794,0.768
female,0.1666666667,3rd,Southampton,England,20.1106,1,2,0.51,0.354,0.774,0.682
male,25,3rd,Southampton,England,20.1106,1,2,0.434,0.126,0.362,0.42
female,32,3rd,Southampton,England,20.1106,1,2,0.51,0.312,0.85,0.932
male,25,3rd,Southampton,Bosnia,7.1711,0,0,0.556,0.372,0.254,0.174
female,24,2nd,Cherbourg,Italy,27.1405,1,0,0.956,0.912,0.96,0.99
male,29,2nd,Cherbourg,Italy,27.1405,1,0,0.458,0.09,0.494,0.272
male,36,3rd,Southampton,United States,17.08,1,0,0.45,0.368,0.346,0.168
female,36,3rd,Southampton,United States,17.08,1,0,0.424,0.502,0.882,0.96
male,30,3rd,Southampton,Belgium,9.1,0,0,0.572,0.404,0.216,0.106
male,25,2nd,Southampton,Channel Islands,31.1,0,0,0.488,0.064,0.332,0.174
male,30,3rd,Southampton,X,7.1711,0,0,0.556,0.404,0.194,0.106
male,22,3rd,Southampton,England,7.05,0,0,0.516,0.258,0.23,0.11
male,26,3rd,Southampton,England,7.05,0,0,0.516,0.376,0.238,0.174
male,16,3rd,Southampton,Belgium,9.1,0,0,0.572,0.258,0.256,0.166
female,19,3rd,Queenstown,Ireland,7.1707,0,0,0.73,0.552,0.884,0.96
male,18,2nd,Southampton,England,73.1,0,0,0.386,0.016,0.118,0.118
male,31,1st,Southampton,Canada,57,1,0,0.554,0.244,0.47,0.244
female,17,1st,Southampton,United States,57,1,0,0.91,0.97,0.98,0.97
male,17,3rd,Southampton,Croatia (Modern),7.1711,0,0,0.556,0.256,0.226,0.148
male,42,3rd,Southampton,Hungary,8.1303,0,0,0.574,0.418,0.224,0.032
male,43,3rd,Southampton,X,7.1711,0,0,0.556,0.418,0.234,0.03
male,52,1st,Southampton,United States,81.1702,1,1,0.72,0.224,0.388,0.224
male,4,1st,Southampton,United States,81.1702,0,2,0.786,0.754,0.814,0.754
female,34,1st,Southampton,United States,81.1702,1,1,0.908,0.976,0.982,0.976
