gender,age,class,embarked,country,fare,sibsp,parch,pred0,age_2,pred1,class_2,pred2,fare_2,pred3,gender_2,pred4,embarked_2,pred5,sibsp_2,pred6,parch_2,pred7
female,50,1st,Cherbourg,Canada,247.1005,0,1,0.994,8,0.95,1st,0.95,72,0.962,male,0.784,Southampton,0.58,0,0.58,0,0.422
male,32,2nd,Southampton,England,26,1,0,0.08,8,0.472,1st,0.52,72,0.49,male,0.49,Southampton,0.49,0,0.422,0,0.422
female,22,2nd,Southampton,England,26,1,0,0.908,8,0.936,1st,0.892,72,0.9,male,0.49,Southampton,0.49,0,0.422,0,0.422
male,36,1st,Southampton,Canada,75.041,0,0,0.068,8,0.422,1st,0.422,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,44,2nd,Southampton,England,26,0,0,0.006,8,0.472,1st,0.486,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,20,3rd,Southampton,England,8.01,0,0,0.002,8,0.578,1st,0.524,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,1,2nd,Southampton,India,39,2,1,0.858,8,0.736,1st,0.644,72,0.64,male,0.64,Southampton,0.64,0,0.58,0,0.422
female,4,2nd,Southampton,India,39,2,1,0.972,8,0.968,1st,0.902,72,0.894,male,0.64,Southampton,0.64,0,0.58,0,0.422
female,12,2nd,Southampton,India,39,2,1,0.974,8,0.968,1st,0.902,72,0.894,male,0.64,Southampton,0.64,0,0.58,0,0.422
female,35,2nd,Southampton,United States,39,0,3,0.974,8,0.964,1st,0.896,72,0.89,male,0.682,Southampton,0.682,0,0.682,0,0.422
male,37,1st,Southampton,United States,52.1101,1,1,0.538,8,0.72,1st,0.72,72,0.662,male,0.662,Southampton,0.662,0,0.58,0,0.422
female,46,1st,Southampton,United States,52.1101,1,1,0.996,8,0.904,1st,0.904,72,0.896,male,0.662,Southampton,0.662,0,0.58,0,0.422
male,34,2nd,Southampton,England,13,0,0,0.1,8,0.508,1st,0.528,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,26,1st,Cherbourg,United States,30,0,0,0.6,8,0.638,1st,0.638,72,0.524,male,0.524,Southampton,0.422,0,0.422,0,0.422
male,26,3rd,Southampton,Sweden,7.1506,0,0,0.026,8,0.54,1st,0.5,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
female,19,2nd,Southampton,United States,13,0,0,0.912,8,0.91,1st,0.878,72,0.912,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,22,3rd,Southampton,Finland,9.07,0,0,0.002,8,0.578,1st,0.53,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,23,2nd,Southampton,England,13,0,0,0.006,8,0.508,1st,0.528,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
female,39,1st,Cherbourg,United States,63.0702,0,0,0.986,8,0.948,1st,0.948,72,0.948,male,0.524,Southampton,0.422,0,0.422,0,0.422
female,46,1st,Cherbourg,X,247.1006,0,0,0.978,8,0.942,1st,0.942,72,0.948,male,0.524,Southampton,0.422,0,0.422,0,0.422
male,32,3rd,Southampton,X,56.0911,0,0,0.708,8,0.51,1st,0.458,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
female,31,1st,Southampton,England,221.1507,0,0,0.954,8,0.876,1st,0.876,72,0.912,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,21,3rd,Southampton,Norway,7.1506,0,0,0.054,8,0.54,1st,0.5,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,24,1st,Cherbourg,X,26,0,0,0.33,8,0.542,1st,0.542,72,0.524,male,0.524,Southampton,0.422,0,0.422,0,0.422
male,25,1st,Cherbourg,United States,91.0107,1,0,0.442,8,0.52,1st,0.52,72,0.47,male,0.47,Southampton,0.49,0,0.422,0,0.422
female,19,1st,Cherbourg,United States,91.0107,1,0,0.994,8,0.958,1st,0.958,72,0.952,male,0.47,Southampton,0.49,0,0.422,0,0.422
male,18,3rd,Southampton,Sweden,7.15,0,0,0.002,8,0.536,1st,0.5,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,28,1st,Southampton,Sweden,26.11,0,0,0.466,8,0.574,1st,0.574,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,45,1st,Southampton,United States,35.1,0,0,0.23,8,0.532,1st,0.532,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,39,1st,Cherbourg,United States,31,0,0,0.28,8,0.606,1st,0.606,72,0.524,male,0.524,Southampton,0.422,0,0.422,0,0.422
female,30,1st,Southampton,United States,164.1704,0,0,0.992,8,0.908,1st,0.908,72,0.912,male,0.422,Southampton,0.422,0,0.422,0,0.422
female,61,1st,Southampton,England,26.11,0,0,0.884,8,0.926,1st,0.926,72,0.912,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,41,1st,Southampton,England,26.11,0,0,0.284,8,0.574,1st,0.574,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,26,3rd,Southampton,X,7.1711,0,0,0,8,0.556,1st,0.518,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,25,2nd,Southampton,United States,13,0,0,0.002,8,0.508,1st,0.528,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
female,40,3rd,Queenstown,Ireland,7.15,0,2,0.158,8,0.586,1st,0.79,72,0.89,male,0.67,Southampton,0.726,0,0.726,0,0.422
male,42,3rd,Queenstown,Ireland,15.1,1,1,0.048,8,0.434,1st,0.636,72,0.594,male,0.594,Southampton,0.662,0,0.58,0,0.422
female,32,3rd,Queenstown,Ireland,15.1,1,1,0.324,8,0.542,1st,0.8,72,0.89,male,0.594,Southampton,0.662,0,0.58,0,0.422
female,45,1st,Cherbourg,United States,262.0706,0,0,0.978,8,0.944,1st,0.944,72,0.948,male,0.524,Southampton,0.422,0,0.422,0,0.422
male,26,3rd,Southampton,Wales,16.02,0,0,0.01,8,0.504,1st,0.538,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,42,2nd,Southampton,X,13,0,0,0.01,8,0.508,1st,0.528,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
female,22,1st,Southampton,England,55,0,1,0.994,8,0.94,1st,0.94,72,0.928,male,0.58,Southampton,0.58,0,0.58,0,0.422
male,30,2nd,Southampton,United States,13,0,0,0.002,8,0.508,1st,0.528,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
female,22,3rd,Queenstown,Ireland,7.1406,0,0,0.796,8,0.79,1st,0.864,72,0.916,male,0.39,Southampton,0.422,0,0.422,0,0.422
male,41,1st,Southampton,United States,30.1,0,0,0.276,8,0.582,1st,0.582,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
female,20,3rd,Southampton,Sweden,7.1701,0,0,0.468,8,0.574,1st,0.836,72,0.912,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,24,2nd,Southampton,England,22,0,0,0.002,8,0.486,1st,0.508,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,48,1st,Cherbourg,United States,50.0911,0,0,0.132,8,0.524,1st,0.524,72,0.524,male,0.524,Southampton,0.422,0,0.422,0,0.422
male,29,3rd,Southampton,England,7,1,0,0.018,8,0.436,1st,0.504,72,0.49,male,0.49,Southampton,0.49,0,0.422,0,0.422
male,23,3rd,Southampton,England,7.05,1,0,0.01,8,0.442,1st,0.508,72,0.49,male,0.49,Southampton,0.49,0,0.422,0,0.422
male,37,1st,Southampton,United States,26.11,0,0,0.364,8,0.574,1st,0.574,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,46,1st,Cherbourg,United States,39.12,0,0,0.178,8,0.598,1st,0.598,72,0.524,male,0.524,Southampton,0.422,0,0.422,0,0.422
male,20,2nd,Southampton,France,22,0,0,0,8,0.486,1st,0.508,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,32,2nd,Southampton,X,13,0,0,0.006,8,0.508,1st,0.528,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,22,3rd,Southampton,Sweden,7.1511,0,0,0.086,8,0.586,1st,0.516,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,40,3rd,Southampton,England,8.01,0,0,0.002,8,0.578,1st,0.524,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
female,18,2nd,Southampton,England,13,0,0,0.91,8,0.91,1st,0.878,72,0.912,male,0.422,Southampton,0.422,0,0.422,0,0.422
female,15,2nd,Southampton,South Africa,39,0,2,0.986,8,0.978,1st,0.906,72,0.9,male,0.726,Southampton,0.726,0,0.726,0,0.422
female,59,1st,Southampton,United States,51.0907,2,0,0.96,8,0.912,1st,0.912,72,0.886,male,0.488,Southampton,0.488,0,0.422,0,0.422
female,40,2nd,Southampton,South Africa,39,1,1,0.964,8,0.976,1st,0.902,72,0.896,male,0.662,Southampton,0.662,0,0.58,0,0.422
female,44,1st,Cherbourg,United States,27.1405,0,0,0.932,8,0.93,1st,0.93,72,0.948,male,0.524,Southampton,0.422,0,0.422,0,0.422
male,60,2nd,Southampton,South Africa,39,1,1,0.086,8,0.78,1st,0.67,72,0.662,male,0.662,Southampton,0.662,0,0.58,0,0.422
female,20,2nd,Southampton,Sweden,26,1,0,0.936,8,0.936,1st,0.892,72,0.9,male,0.49,Southampton,0.49,0,0.422,0,0.422
male,25,2nd,Southampton,Sweden,26,1,0,0.016,8,0.472,1st,0.52,72,0.49,male,0.49,Southampton,0.49,0,0.422,0,0.422
female,22,3rd,Queenstown,Ireland,7.0508,0,0,0.592,8,0.658,1st,0.828,72,0.916,male,0.39,Southampton,0.422,0,0.422,0,0.422
male,21,3rd,Queenstown,Ireland,7.1517,0,0,0.202,8,0.462,1st,0.504,72,0.39,male,0.39,Southampton,0.422,0,0.422,0,0.422
female,58,1st,Cherbourg,India,76.051,0,0,0.972,8,0.952,1st,0.952,72,0.948,male,0.524,Southampton,0.422,0,0.422,0,0.422
male,7,3rd,Cherbourg,Lebanon,15.0411,1,1,0.686,8,0.764,1st,0.758,72,0.712,male,0.712,Southampton,0.662,0,0.58,0,0.422
female,10,3rd,Cherbourg,Lebanon,15.0411,1,1,0.538,8,0.706,1st,0.854,72,0.946,male,0.712,Southampton,0.662,0,0.58,0,0.422
female,40,3rd,Cherbourg,Lebanon,15.0411,0,2,0.354,8,0.812,1st,0.908,72,0.962,male,0.852,Southampton,0.726,0,0.726,0,0.422
male,19,3rd,Queenstown,Ireland,6.15,0,0,0.004,8,0.358,1st,0.44,72,0.39,male,0.39,Southampton,0.422,0,0.422,0,0.422
female,41,1st,Cherbourg,X,134.1,0,0,0.99,8,0.948,1st,0.948,72,0.948,male,0.524,Southampton,0.422,0,0.422,0,0.422
female,17,3rd,Queenstown,Ireland,7.1707,0,0,0.71,8,0.73,1st,0.852,72,0.916,male,0.39,Southampton,0.422,0,0.422,0,0.422
female,36,2nd,Southampton,England,13,0,0,0.948,8,0.91,1st,0.878,72,0.912,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,26,2nd,Southampton,England,13,0,0,0,8,0.508,1st,0.528,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,21,3rd,Cherbourg,Lebanon,7.0407,0,0,0.008,8,0.382,1st,0.604,72,0.524,male,0.524,Southampton,0.422,0,0.422,0,0.422
male,46,1st,Southampton,United States,26.11,0,0,0.358,8,0.574,1st,0.574,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,42,2nd,Southampton,England,13,0,0,0.01,8,0.508,1st,0.528,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
female,40,2nd,Southampton,United States,13,0,0,0.938,8,0.91,1st,0.878,72,0.912,male,0.422,Southampton,0.422,0,0.422,0,0.422
female,21,3rd,Southampton,Croatia (Modern),8.1303,0,0,0.336,8,0.554,1st,0.836,72,0.912,male,0.422,Southampton,0.422,0,0.422,0,0.422
female,30,3rd,Southampton,Croatia (Modern),8.1303,0,0,0.32,8,0.554,1st,0.836,72,0.912,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,18,3rd,Southampton,Croatia (Modern),8.1303,0,0,0.024,8,0.574,1st,0.526,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,38,3rd,Southampton,Croatia (Modern),8.1303,0,0,0.002,8,0.574,1st,0.526,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,28,1st,Southampton,Scotland,31,0,0,0.314,8,0.518,1st,0.518,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,42,1st,Southampton,United States,26.0509,0,0,0.464,8,0.618,1st,0.618,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
